league,event_id,polymarket_event_id,event_date,home_team,away_team,updated_at,1x2_home,1x2_draw,1x2_away,btts_yes,btts_no,over_15,under_15,over_25,under_25,over_35,under_35,over_45,under_45,exact_scores_json
ucl_2026,587710,844813,2026-08-26 19:00:00,NK Celje,ŠK Slovan Bratislava,2026-08-18 04:57:12,0.425,0.4,0.425,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"{""Any Other Score"": 0.495, ""NK Celje 0 - 0 ŠK Slovan Bratislava"": 0.495, ""NK Celje 0 - 1 ŠK Slovan Bratislava"": 0.495, ""NK Celje 0 - 2 ŠK Slovan Bratislava"": 0.49, ""NK Celje 0 - 3 ŠK Slovan Bratislava"": 0.495, ""NK Celje 1 - 0 ŠK Slovan Bratislava"": 0.495, ""NK Celje 1 - 1 ŠK Slovan Bratislava"": 0.395, ""NK Celje 1 - 2 ŠK Slovan Bratislava"": 0.495, ""NK Celje 1 - 3 ŠK Slovan Bratislava"": 0.495, ""NK Celje 2 - 0 ŠK Slovan Bratislava"": 0.495, ""NK Celje 2 - 1 ŠK Slovan Bratislava"": 0.495, ""NK Celje 2 - 2 ŠK Slovan Bratislava"": 0.09, ""NK Celje 2 - 3 ŠK Slovan Bratislava"": 0.495, ""NK Celje 3 - 0 ŠK Slovan Bratislava"": 0.495, ""NK Celje 3 - 1 ŠK Slovan Bratislava"": 0.495, ""NK Celje 3 - 2 ŠK Slovan Bratislava"": 0.49, ""NK Celje 3 - 3 ŠK Slovan Bratislava"": 0.055}"
ucl_2026,587709,844812,2026-08-26 19:00:00,AEK Athens,Levski Sofia,2026-08-18 04:57:12,0.515,0.425,0.325,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"{""Any Other Score"": 0.485, ""AEK 0 - 0 PFK Levski Sofia"": 0.495, ""AEK 0 - 1 PFK Levski Sofia"": 0.49, ""AEK 0 - 2 PFK Levski Sofia"": 0.49, ""AEK 0 - 3 PFK Levski Sofia"": 0.49, ""AEK 1 - 0 PFK Levski Sofia"": 0.49, ""AEK 1 - 1 PFK Levski Sofia"": 0.395, ""AEK 1 - 2 PFK Levski Sofia"": 0.49, ""AEK 1 - 3 PFK Levski Sofia"": 0.49, ""AEK 2 - 0 PFK Levski Sofia"": 0.49, ""AEK 2 - 1 PFK Levski Sofia"": 0.485, ""AEK 2 - 2 PFK Levski Sofia"": 0.09, ""AEK 2 - 3 PFK Levski Sofia"": 0.49, ""AEK 3 - 0 PFK Levski Sofia"": 0.49, ""AEK 3 - 1 PFK Levski Sofia"": 0.49, ""AEK 3 - 2 PFK Levski Sofia"": 0.49, ""AEK 3 - 3 PFK Levski Sofia"": 0.055}"
ucl_2026,587706,844815,2026-08-26 19:00:00,Olympique Lyonnais,Fenerbahçe,2026-08-18 04:57:12,0.485,0.35,0.35,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"{""Any Other Score"": 0.49, ""Olympique Lyonnais 0 - 0 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 0 - 1 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 0 - 2 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 0 - 3 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 1 - 0 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 1 - 1 Fenerbahçe SK"": 0.395, ""Olympique Lyonnais 1 - 2 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 1 - 3 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 2 - 0 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 2 - 1 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 2 - 2 Fenerbahçe SK"": 0.09, ""Olympique Lyonnais 2 - 3 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 3 - 0 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 3 - 1 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 3 - 2 Fenerbahçe SK"": 0.49, ""Olympique Lyonnais 3 - 3 Fenerbahçe SK"": 0.055}"
ucl_2026,587705,844814,2026-08-26 19:00:00,Viking FK,GNK Dinamo Zagreb,2026-08-18 04:57:12,0.485,0.35,0.35,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"{""Any Other Score"": 0.495, ""Viking FK 0 - 0 GNK Dinamo Zagreb"": 0.495, ""Viking FK 0 - 1 GNK Dinamo Zagreb"": 0.49, ""Viking FK 0 - 2 GNK Dinamo Zagreb"": 0.49, ""Viking FK 0 - 3 GNK Dinamo Zagreb"": 0.49, ""Viking FK 1 - 0 GNK Dinamo Zagreb"": 0.49, ""Viking FK 1 - 1 GNK Dinamo Zagreb"": 0.395, ""Viking FK 1 - 2 GNK Dinamo Zagreb"": 0.49, ""Viking FK 1 - 3 GNK Dinamo Zagreb"": 0.49, ""Viking FK 2 - 0 GNK Dinamo Zagreb"": 0.485, ""Viking FK 2 - 1 GNK Dinamo Zagreb"": 0.49, ""Viking FK 2 - 2 GNK Dinamo Zagreb"": 0.09, ""Viking FK 2 - 3 GNK Dinamo Zagreb"": 0.49, ""Viking FK 3 - 0 GNK Dinamo Zagreb"": 0.49, ""Viking FK 3 - 1 GNK Dinamo Zagreb"": 0.49, ""Viking FK 3 - 2 GNK Dinamo Zagreb"": 0.49, ""Viking FK 3 - 3 GNK Dinamo Zagreb"": 0.055}"
ucl_2026,587708,839906,2026-08-25 19:00:00,Bodø/Glimt,NEC Nijmegen,2026-08-18 04:57:12,0.515,0.4,0.375,0.5,0.5,0.5,0.5,0.5,0.5,0.495,0.505,0.49,0.51,"{""Any Other Score"": 0.49, ""FK Bodø/Glimt 0 - 0 NEC"": 0.48, ""FK Bodø/Glimt 0 - 1 NEC"": 0.49, ""FK Bodø/Glimt 0 - 2 NEC"": 0.49, ""FK Bodø/Glimt 0 - 3 NEC"": 0.475, ""FK Bodø/Glimt 1 - 0 NEC"": 0.49, ""FK Bodø/Glimt 1 - 1 NEC"": 0.385, ""FK Bodø/Glimt 1 - 2 NEC"": 0.49, ""FK Bodø/Glimt 1 - 3 NEC"": 0.49, ""FK Bodø/Glimt 2 - 0 NEC"": 0.49, ""FK Bodø/Glimt 2 - 1 NEC"": 0.49, ""FK Bodø/Glimt 2 - 2 NEC"": 0.09, ""FK Bodø/Glimt 2 - 3 NEC"": 0.495, ""FK Bodø/Glimt 3 - 0 NEC"": 0.49, ""FK Bodø/Glimt 3 - 1 NEC"": 0.49, ""FK Bodø/Glimt 3 - 2 NEC"": 0.49, ""FK Bodø/Glimt 3 - 3 NEC"": 0.055}"
ucl_2026,224835,839905,2026-08-25 19:00:00,LASK,Celtic,2026-08-18 04:57:12,0.45,0.435,0.435,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"{""Any Other Score"": 0.445, ""LASK Linz 0 - 0 Celtic FC"": 0.445, ""LASK Linz 0 - 1 Celtic FC"": 0.475, ""LASK Linz 0 - 2 Celtic FC"": 0.445, ""LASK Linz 0 - 3 Celtic FC"": 0.48, ""LASK Linz 1 - 0 Celtic FC"": 0.44, ""LASK Linz 1 - 1 Celtic FC"": 0.385, ""LASK Linz 1 - 2 Celtic FC"": 0.445, ""LASK Linz 1 - 3 Celtic FC"": 0.445, ""LASK Linz 2 - 0 Celtic FC"": 0.44, ""LASK Linz 2 - 1 Celtic FC"": 0.445, ""LASK Linz 2 - 2 Celtic FC"": 0.09, ""LASK Linz 2 - 3 Celtic FC"": 0.445, ""LASK Linz 3 - 0 Celtic FC"": 0.445, ""LASK Linz 3 - 1 Celtic FC"": 0.445, ""LASK Linz 3 - 2 Celtic FC"": 0.445, ""LASK Linz 3 - 3 Celtic FC"": 0.055}"
ucl_2026,587707,839907,2026-08-25 16:45:00,Sabah FK,Hapoel Be'er Sheva,2026-08-18 04:57:12,0.45,0.435,0.435,0.5,0.5,0.5,0.5,0.5,0.5,0.495,0.505,0.5,0.5,"{""Any Other Score"": 0.445, ""Sabah FK 0 - 0 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 0 - 1 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 0 - 2 MH Hapoel Be'er Sheva"": 0.44, ""Sabah FK 0 - 3 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 1 - 0 MH Hapoel Be'er Sheva"": 0.48, ""Sabah FK 1 - 1 MH Hapoel Be'er Sheva"": 0.385, ""Sabah FK 1 - 2 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 1 - 3 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 2 - 0 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 2 - 1 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 2 - 2 MH Hapoel Be'er Sheva"": 0.09, ""Sabah FK 2 - 3 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 3 - 0 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 3 - 1 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 3 - 2 MH Hapoel Be'er Sheva"": 0.445, ""Sabah FK 3 - 3 MH Hapoel Be'er Sheva"": 0.055}"
ucl_2026,587704,864644,2026-08-19 19:00:00,ŠK Slovan Bratislava,NK Celje,2026-08-18 04:57:12,0.565,0.235,0.205,0.295,0.705,0.41,0.59,0.415,0.585,0.315,0.685,0.155,0.845,"{""Any Other Score"": 0.095, ""ŠK Slovan Bratislava 0 - 0 NK Celje"": 0.06, ""ŠK Slovan Bratislava 0 - 1 NK Celje"": 0.06, ""ŠK Slovan Bratislava 0 - 2 NK Celje"": 0.0295, ""ŠK Slovan Bratislava 0 - 3 NK Celje"": 0.0115, ""ŠK Slovan Bratislava 1 - 0 NK Celje"": 0.11, ""ŠK Slovan Bratislava 1 - 1 NK Celje"": 0.11, ""ŠK Slovan Bratislava 1 - 2 NK Celje"": 0.057, ""ŠK Slovan Bratislava 1 - 3 NK Celje"": 0.0165, ""ŠK Slovan Bratislava 2 - 0 NK Celje"": 0.1, ""ŠK Slovan Bratislava 2 - 1 NK Celje"": 0.105, ""ŠK Slovan Bratislava 2 - 2 NK Celje"": 0.05, ""ŠK Slovan Bratislava 2 - 3 NK Celje"": 0.016, ""ŠK Slovan Bratislava 3 - 0 NK Celje"": 0.06, ""ŠK Slovan Bratislava 3 - 1 NK Celje"": 0.06, ""ŠK Slovan Bratislava 3 - 2 NK Celje"": 0.029, ""ŠK Slovan Bratislava 3 - 3 NK Celje"": 0.012}"
ucl_2026,587703,864034,2026-08-19 19:00:00,NEC Nijmegen,Bodø/Glimt,2026-08-18 04:57:12,0.375,0.245,0.395,0.39,0.61,0.455,0.545,0.465,0.535,0.435,0.565,0.265,0.735,"{""Any Other Score"": 0.12, ""NEC 0 - 0 FK Bodø/Glimt"": 0.036, ""NEC 0 - 1 FK Bodø/Glimt"": 0.054, ""NEC 0 - 2 FK Bodø/Glimt"": 0.048, ""NEC 0 - 3 FK Bodø/Glimt"": 0.029, ""NEC 1 - 0 FK Bodø/Glimt"": 0.055, ""NEC 1 - 1 FK Bodø/Glimt"": 0.095, ""NEC 1 - 2 FK Bodø/Glimt"": 0.085, ""NEC 1 - 3 FK Bodø/Glimt"": 0.0485, ""NEC 2 - 0 FK Bodø/Glimt"": 0.0475, ""NEC 2 - 1 FK Bodø/Glimt"": 0.085, ""NEC 2 - 2 FK Bodø/Glimt"": 0.075, ""NEC 2 - 3 FK Bodø/Glimt"": 0.0425, ""NEC 3 - 0 FK Bodø/Glimt"": 0.0275, ""NEC 3 - 1 FK Bodø/Glimt"": 0.0475, ""NEC 3 - 2 FK Bodø/Glimt"": 0.0415, ""NEC 3 - 3 FK Bodø/Glimt"": 0.0225}"
ucl_2026,587702,839910,2026-08-19 19:00:00,Hapoel Be'er Sheva,Sabah FK,2026-08-18 04:57:12,0.415,0.295,0.305,0.29,0.71,0.49,0.51,0.195,0.805,0.265,0.735,0.115,0.885,"{""Any Other Score"": 0.055, ""MH Hapoel Be'er Sheva 0 - 0 Sabah FK"": 0.08, ""MH Hapoel Be'er Sheva 0 - 1 Sabah FK"": 0.09, ""MH Hapoel Be'er Sheva 0 - 2 Sabah FK"": 0.05, ""MH Hapoel Be'er Sheva 0 - 3 Sabah FK"": 0.0175, ""MH Hapoel Be'er Sheva 1 - 0 Sabah FK"": 0.1, ""MH Hapoel Be'er Sheva 1 - 1 Sabah FK"": 0.14, ""MH Hapoel Be'er Sheva 1 - 2 Sabah FK"": 0.075, ""MH Hapoel Be'er Sheva 1 - 3 Sabah FK"": 0.0255, ""MH Hapoel Be'er Sheva 2 - 0 Sabah FK"": 0.07, ""MH Hapoel Be'er Sheva 2 - 1 Sabah FK"": 0.085, ""MH Hapoel Be'er Sheva 2 - 2 Sabah FK"": 0.06, ""MH Hapoel Be'er Sheva 2 - 3 Sabah FK"": 0.018, ""MH Hapoel Be'er Sheva 3 - 0 Sabah FK"": 0.034, ""MH Hapoel Be'er Sheva 3 - 1 Sabah FK"": 0.0345, ""MH Hapoel Be'er Sheva 3 - 2 Sabah FK"": 0.021, ""MH Hapoel Be'er Sheva 3 - 3 Sabah FK"": 0.012}"
