league,event_id,polymarket_event_id,event_date,home_team,away_team,updated_at,1x2_home,1x2_draw,1x2_away,btts_yes,btts_no,over_15,under_15,over_25,under_25,over_35,under_35,over_45,under_45,exact_scores_json
liga_mx_apertura_2026,211639,676031,2026-11-08 03:00:00,Pumas UNAM,Club América,2026-07-19 03:00:34,0.0005,0.0005,0.9995,0.0005,0.9995,0.0025,0.9975,0.0025,0.9975,0.0005,0.9995,0.0005,0.9995,"{""Any Other Score"": 0.0045, ""Pumas de la UNAM 0 - 0 CF Pachuca"": 0.0005, ""Pumas de la UNAM 0 - 1 CF Pachuca"": 0.0005, ""Pumas de la UNAM 0 - 2 CF Pachuca"": 0.0005, ""Pumas de la UNAM 0 - 3 CF Pachuca"": 0.9995, ""Pumas de la UNAM 1 - 0 CF Pachuca"": 0.0005, ""Pumas de la UNAM 1 - 1 CF Pachuca"": 0.0005, ""Pumas de la UNAM 1 - 2 CF Pachuca"": 0.0005, ""Pumas de la UNAM 1 - 3 CF Pachuca"": 0.0005, ""Pumas de la UNAM 2 - 0 CF Pachuca"": 0.0005, ""Pumas de la UNAM 2 - 1 CF Pachuca"": 0.0005, ""Pumas de la UNAM 2 - 2 CF Pachuca"": 0.0005, ""Pumas de la UNAM 2 - 3 CF Pachuca"": 0.0005, ""Pumas de la UNAM 3 - 0 CF Pachuca"": 0.0005, ""Pumas de la UNAM 3 - 1 CF Pachuca"": 0.0005, ""Pumas de la UNAM 3 - 2 CF Pachuca"": 0.0005, ""Pumas de la UNAM 3 - 3 CF Pachuca"": 0.0005}"
liga_mx_apertura_2026,211632,683484,2026-11-02 01:00:00,Cruz Azul,Club León,2026-07-22 05:00:35,,,,0.004,0.996,0.004,0.996,0.004,0.996,0.0005,0.9995,0.0005,0.9995,
liga_mx_apertura_2026,211629,676030,2026-11-01 02:00:00,CF Monterrey,Club Tijuana,2026-07-19 05:00:34,0.9995,0.0005,0.0005,0.0045,0.9955,0.0025,0.9975,0.0025,0.9975,0.9995,0.0005,0.9995,0.0005,"{""Any Other Score"": 0.0045, ""CF Monterrey 0 - 0 Club Santos Laguna"": 0.0005, ""CF Monterrey 0 - 1 Club Santos Laguna"": 0.0005, ""CF Monterrey 0 - 2 Club Santos Laguna"": 0.0005, ""CF Monterrey 0 - 3 Club Santos Laguna"": 0.0005, ""CF Monterrey 1 - 0 Club Santos Laguna"": 0.0005, ""CF Monterrey 1 - 1 Club Santos Laguna"": 0.0005, ""CF Monterrey 1 - 2 Club Santos Laguna"": 0.0005, ""CF Monterrey 1 - 3 Club Santos Laguna"": 0.0005, ""CF Monterrey 2 - 0 Club Santos Laguna"": 0.0005, ""CF Monterrey 2 - 1 Club Santos Laguna"": 0.0005, ""CF Monterrey 2 - 2 Club Santos Laguna"": 0.0005, ""CF Monterrey 2 - 3 Club Santos Laguna"": 0.0005, ""CF Monterrey 3 - 0 Club Santos Laguna"": 0.0005, ""CF Monterrey 3 - 1 Club Santos Laguna"": 0.0005, ""CF Monterrey 3 - 2 Club Santos Laguna"": 0.9995, ""CF Monterrey 3 - 3 Club Santos Laguna"": 0.0005}"
liga_mx_apertura_2026,211612,734398,2026-10-22 01:00:00,Club Puebla,CF Monterrey,2026-07-30 05:00:19,,,,,,,,,,,,,,
liga_mx_apertura_2026,211610,734416,2026-10-22 01:00:00,Atlas FC,Club América,2026-07-30 05:00:18,,,,,,,,,,,,,,
liga_mx_apertura_2026,211597,666679,2026-10-17 01:00:00,Club Necaxa,Atlas FC,2026-07-18 06:30:26,,,,,,,,,,,,,,
liga_mx_apertura_2026,211591,666671,2026-10-10 23:00:00,FC Juárez,Club Tijuana,2026-07-18 12:00:36,0.0,0.0,0.9995,,,,,,,,,,,
liga_mx_apertura_2026,211588,734410,2026-10-10 01:00:00,Club Puebla,Club León,2026-07-30 05:00:18,,,,,,,,,,,,,,
liga_mx_apertura_2026,211585,734422,2026-09-27 18:00:00,Pumas UNAM,Atlético San Luis,2026-07-30 05:00:18,,,,,,,,,,,,,,
liga_mx_apertura_2026,211580,734402,2026-09-26 03:00:00,Club Tijuana,Atlas FC,2026-07-30 05:00:18,,,,,,,,,,,,,,
